time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;events;hour;day;month;weekday_code;incident_occurred;pedestrians count_scaled;temperature in ºc_scaled;hour_scaled;day_scaled;month_scaled;weekday_code_scaled
2024-06-15 08:00:00+02:00;Saturday;179;;;;8;15;6;5;0;-0.6847837971409185;;-0.5167453940732014;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 09:00:00+02:00;Saturday;439;;;;9;15;6;5;0;-0.5236953691622425;;-0.374370977045349;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 10:00:00+02:00;Saturday;1005;;;;10;15;6;5;0;-0.17301825287020137;;-0.23199656001749655;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 11:00:00+02:00;Saturday;1252;;;;11;15;6;5;0;-0.019984246290459078;;-0.08962214298964409;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 12:00:00+02:00;Saturday;1449;;;;12;15;6;5;0;0.10207121644723012;;0.052752274038208355;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 13:00:00+02:00;Saturday;2437;;;;13;15;6;5;0;0.7142072427661993;;0.19512669106606081;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 14:00:00+02:00;Saturday;2465;;;;14;15;6;5;0;0.731555227317749;;0.33750110809391326;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 15:00:00+02:00;Saturday;2706;;;;15;15;6;5;0;0.880871808636445;;0.47987552512176573;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 16:00:00+02:00;Saturday;2720;;;;16;15;6;5;0;0.8895458009122199;;0.6222499421496182;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 17:00:00+02:00;Saturday;2348;;;;17;15;6;5;0;0.6590654347273448;;0.7646243591774706;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 18:00:00+02:00;Saturday;1639;;;;18;15;6;5;0;0.2197896830470319;;0.9069987762053231;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 19:00:00+02:00;Saturday;837;;;;19;15;6;5;0;-0.2771061601794998;;1.0493731932331756;-1.117664427836747;0.0;0.7467127274487798
2024-06-15 20:00:00+02:00;Saturday;451;;;;20;15;6;5;0;-0.5162605186401497;;1.191747610261028;-1.117664427836747;0.0;0.7467127274487798
